datetime_iso,gas_price
2021-08-16,45.45
2021-08-17,47.63
2021-08-18,47.08
2021-08-19,44.75
2021-08-20,42.09
2021-08-21,42.47
2021-08-22,41.37
2021-08-23,41.88
2021-08-24,42.0
2021-08-25,44.78
2021-08-26,47.18
2021-08-27,47.19
2021-08-28,46.0
2021-08-29,46.13
2021-08-30,50.2
2021-08-31,51.17
2021-09-01,51.98
2021-09-02,52.33
2021-09-03,53.18
2021-09-04,52.11
2021-09-05,51.11
2021-09-06,53.1
2021-09-07,53.77
2021-09-08,54.82
2021-09-09,57.98
2021-09-10,59.32
2021-09-11,58.79
2021-09-12,60.0
2021-09-13,61.45
2021-09-14,63.72
2021-09-15,69.25
2021-09-16,69.58
2021-09-17,64.35
2021-09-18,65.5
2021-09-19,64.1
2021-09-20,63.6
2021-09-21,71.51
2021-09-22,73.15
2021-09-23,70.78
2021-09-24,69.53
2021-09-25,67.6
2021-09-26,72.82
2021-09-27,72.31
2021-09-28,76.95
2021-09-29,78.99
2021-09-30,82.75
2021-10-01,92.69
2021-10-02,88.5
2021-10-03,74.81
2021-10-04,77.7
2021-10-05,91.25
2021-10-06,113.77
2021-10-07,111.66
2021-10-08,98.47
2021-10-09,80.06
2021-10-10,87.4
2021-10-11,86.0
2021-10-12,83.02
2021-10-13,84.07
2021-10-14,92.65
2021-10-15,98.52
2021-10-16,89.95
2021-10-17,90.01
2021-10-18,94.49
2021-10-19,85.66
2021-10-20,86.76
2021-10-21,90.21
2021-10-22,88.24
2021-10-23,88.4
2021-10-24,91.75
2021-10-25,95.1
2021-10-26,91.01
2021-10-27,89.31
2021-10-28,84.65
2021-10-29,73.75
2021-10-30,60.32
2021-10-31,62.86
2021-11-01,60.25
2021-11-02,63.7
2021-11-03,69.25
2021-11-04,76.84
2021-11-05,71.65
2021-11-06,70.51
2021-11-07,71.57
2021-11-08,73.47
2021-11-09,77.74
2021-11-10,71.0
2021-11-11,72.96
2021-11-12,77.73
2021-11-13,76.9
2021-11-14,79.0
2021-11-15,79.25
2021-11-16,81.76
2021-11-17,93.64
2021-11-18,95.1
2021-11-19,96.06
2021-11-20,93.42
2021-11-21,95.7
2021-11-22,92.89
2021-11-23,87.39
2021-11-24,93.9
2021-11-25,97.83
2021-11-26,95.16
2021-11-27,91.42
2021-11-28,93.89
2021-11-29,95.24
2021-11-30,98.26
2021-12-01,95.5
2021-12-02,98.12
2021-12-03,96.07
2021-12-04,92.7
2021-12-05,89.77
2021-12-06,90.21
2021-12-07,91.0
2021-12-08,95.49
2021-12-09,103.98
2021-12-10,101.08
2021-12-11,107.04
2021-12-12,109.06
2021-12-13,113.24
2021-12-14,118.21
2021-12-15,129.5
2021-12-16,125.08
2021-12-17,138.68
2021-12-18,136.67
2021-12-19,146.5
2021-12-20,162.27
2021-12-21,148.44
2021-12-22,183.0
2021-12-23,171.25
2021-12-24,126.78
2021-12-25,100.97
2021-12-26,67.38
2021-12-27,81.05
2021-12-28,98.5
2021-12-29,94.0
2021-12-30,90.0
2021-12-31,76.81
