datetime,gas_price
08/04/2023,41.31;
07/04/2023,39.42;
06/04/2023,41.3;
05/04/2023,41.74;
04/04/2023,44.14;
03/04/2023,43.81;
02/04/2023,43.13;
01/04/2023,41.5;
31/03/2023,34.87;
30/03/2023,36.69;
29/03/2023,39.88;
28/03/2023,40.39;
27/03/2023,38.71;
26/03/2023,38.86;
25/03/2023,40;
24/03/2023,41.73;
23/03/2023,38.57;
22/03/2023,40.18;
21/03/2023,38.99;
20/03/2023,44.27;
19/03/2023,41.34;
18/03/2023,42.09;
17/03/2023,42.83;
16/03/2023,42.24;
15/03/2023,46.48;
14/03/2023,47.38;
13/03/2023,49.52;
12/03/2023,53.09;
11/03/2023,52.51;
10/03/2023,46.25;
09/03/2023,41.4;
08/03/2023,43.9;
07/03/2023,44.2;
06/03/2023,50.45;
05/03/2023,48.16;
04/03/2023,46.25;
03/03/2023,47.63;
02/03/2023,48.45;
01/03/2023,46.31;
28/02/2023,45.41;
27/02/2023,50.52;
26/02/2023,49.28;
25/02/2023,49.29;
24/02/2023,49.54;
23/02/2023,48.1;
22/02/2023,48.5;
21/02/2023,49.52;
20/02/2023,49.69;
19/02/2023,47.95;
18/02/2023,47.69;
17/02/2023,49.59;
16/02/2023,53.43;
15/02/2023,51.72;
14/02/2023,51.04;
13/02/2023,56.13;
12/02/2023,55.07;
11/02/2023,51.61;
10/02/2023,52.49;
09/02/2023,52.65;
08/02/2023,53.13;
07/02/2023,55.64;
06/02/2023,60.63;
05/02/2023,58.25;
04/02/2023,56.56;
03/02/2023,54.8;
02/02/2023,57.57;
01/02/2023,54.89;
31/01/2023,54.2;
30/01/2023,56.83;
29/01/2023,56.18;
28/01/2023,53.75;
27/01/2023,50.09;
26/01/2023,52.15;
25/01/2023,54.66;
24/01/2023,62.23;
23/01/2023,67.62;
22/01/2023,66;
21/01/2023,64.04;
20/01/2023,60;
19/01/2023,57.52;
18/01/2023,55.8;
17/01/2023,52.9;
16/01/2023,60.13;
15/01/2023,61.79;
14/01/2023,60;
13/01/2023,63.18;
12/01/2023,61.7;
11/01/2023,63.25;
10/01/2023,69.78;
09/01/2023,64.55;
08/01/2023,62.34;
07/01/2023,63.9;
06/01/2023,59.3;
05/01/2023,58;
04/01/2023,63;
03/01/2023,71.49;
02/01/2023,70.45;
01/01/2023,62.49;
