datetime_iso,gas_price
2022-09-11,142.5
2022-09-12,148.94
2022-09-13,131.78
2022-09-14,138.53
2022-09-15,167.5
2022-09-16,135.0
2022-09-17,107.59
2022-09-18,118.16
2022-09-19,114.73
2022-09-20,104.85
2022-09-21,118.08
2022-09-22,104.05
2022-09-23,105.63
2022-09-24,95.0
2022-09-25,95.49
2022-09-26,94.16
2022-09-27,83.7
2022-09-28,91.95
2022-09-29,92.3
2022-09-30,85.0
2022-10-01,80.0
2022-10-02,97.48
2022-10-03,125.5
2022-10-04,107.24
2022-10-05,94.57
2022-10-06,88.7
2022-10-07,78.85
2022-10-08,78.47
2022-10-09,79.19
2022-10-10,93.74
2022-10-11,80.9
2022-10-12,80.0
2022-10-13,75.45
2022-10-14,68.0
2022-10-15,52.37
2022-10-16,64.43
2022-10-17,52.68
2022-10-18,34.3
2022-10-19,27.78
2022-10-20,33.06
2022-10-21,46.9
2022-10-22,44.95
2022-10-23,36.99
2022-10-24,45.96
2022-10-25,31.6
2022-10-26,47.0
2022-10-27,44.64
2022-10-28,47.46
2022-10-29,48.73
2022-10-30,67.06
2022-10-31,79.89
2022-11-01,56.06
2022-11-02,58.15
2022-11-03,64.45
2022-11-04,48.84
2022-11-05,43.64
2022-11-06,48.56
2022-11-07,43.01
2022-11-08,47.75
2022-11-09,45.0
2022-11-10,48.5
2022-11-11,64.85
2022-11-12,50.85
2022-11-13,53.65
2022-11-14,57.5
2022-11-15,55.0
2022-11-16,51.9
2022-11-17,53.8
2022-11-18,52.97
2022-11-19,47.99
2022-11-20,48.54
2022-11-21,51.58
2022-11-22,51.17
2022-11-23,65.0
2022-11-24,85.5
2022-11-25,89.99
2022-11-26,87.85
2022-11-27,82.64
2022-11-28,87.93
2022-11-29,95.0
2022-11-30,103.78
2022-12-01,105.45
2022-12-02,101.0
2022-12-03,117.9
2022-12-04,141.6
2022-12-05,144.13
2022-12-06,120.56
2022-12-07,122.85
2022-12-08,123.6
2022-12-09,131.5
2022-12-10,131.89
2022-12-11,137.63
2022-12-12,131.99
2022-12-13,119.81
2022-12-14,119.9
2022-12-15,116.85
2022-12-16,116.09
2022-12-17,112.85
2022-12-18,102.72
2022-12-19,97.8
2022-12-20,87.5
2022-12-21,84.93
2022-12-22,80.7
2022-12-23,71.05
2022-12-24,70.5
2022-12-25,62.1
2022-12-26,71.81
2022-12-27,72.2
2022-12-28,71.95
2022-12-29,69.83
2022-12-30,64.78
2022-12-31,52.85
