year,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,day_sin,day_cos,hour_sin,hour_cos,is_mond,is_tues,is_wed,is_thurs,is_fri,is_sat,is_sun,type_day_workday,type_day_sat,type_day_sun,type_day_holiday,holiday_coef,demand,solar,solar_share_demand,wind,wind_share_demand,gas_generation,gas_price,residual_demand,interchange_balance,temp_dev,price_es_24h,target_price
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.201299,0.97953,-1.0,-0.0,0,0,0,0,0,0,1,0,0,1,0,1.0,23562.16666666667,2.5,0.0001,10530.3333,0.4469,2230.66666666667,62.49,13029.3334,-826.0,10.0,8.23,15.1
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.201299,0.97953,-0.965926,0.258819,0,0,0,0,0,0,1,0,0,1,0,1.0,24385.66666666667,1.8333,0.0001,10595.25,0.4345,2264.0,62.49,13788.5834,-923.83333333333,9.99,11.01,19.51
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.201299,0.97953,-0.866025,0.5,0,0,0,0,0,0,1,0,0,1,0,1.0,24623.41666666667,2.0,0.0001,10427.9167,0.4235,2322.91666666667,62.49,14193.5,-1199.66666666667,9.98,7.6,24.61
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.201299,0.97953,-0.707107,0.707107,0,0,0,0,0,0,1,0,0,1,0,1.0,23471.25,1.6667,0.0001,10814.6667,0.4608,2269.0,62.49,12654.9166,-1436.33333333333,9.96,3.69,40.07
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.201299,0.97953,-0.5,0.866025,0,0,0,0,0,0,1,0,0,1,0,1.0,21584.75,1.6667,0.0001,10757.8333,0.4984,2448.5,62.49,10825.25,-1756.66666666667,9.95,1.88,40.07
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.201299,0.97953,-0.258819,0.965926,0,0,0,0,0,0,1,0,0,1,0,1.0,19967.83333333333,1.3333,0.0001,10975.9167,0.5497,2976.25,62.49,8990.5833,-2849.83333333333,9.94,0.1,16.0
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.394356,0.918958,0.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0.0,18580.66666666667,1.0,0.0001,10814.8333,0.582,3499.91666666667,70.45,7764.8334,-3221.91666666667,9.93,0.0,61.38
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.394356,0.918958,0.258819,0.965926,1,0,0,0,0,0,0,1,0,0,0,0.0,17674.91666666667,1.0,0.0001,9286.3333,0.5254,3391.08333333333,70.45,8387.5834,-3188.83333333333,9.96,0.0,42.17
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.394356,0.918958,0.5,0.866025,1,0,0,0,0,0,0,1,0,0,0,0.0,17235.41666666667,1.0,0.0001,8188.4167,0.4751,3163.16666666667,70.45,9046.0,-3074.25,9.99,0.0,42.0
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.394356,0.918958,0.707107,0.707107,1,0,0,0,0,0,0,1,0,0,0,0.0,17210.0,1.0833,0.0001,7362.6667,0.4278,3394.16666666667,70.45,9846.25,-2693.25,10.02,0.0,42.07
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.394356,0.918958,0.866025,0.5,1,0,0,0,0,0,0,1,0,0,0,0.0,17774.58333333333,1.0833,0.0001,6162.6667,0.3467,3806.08333333333,70.45,11610.8333,-2516.5,10.05,0.0,42.17
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.394356,0.918958,0.965926,0.258819,1,0,0,0,0,0,0,1,0,0,0,0.0,19909.5,1.0,0.0001,5350.5833,0.2687,4328.16666666667,70.45,14557.9167,-1179.41666666667,10.08,0.0,63.22
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.394356,0.918958,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0.0,22404.66666666667,1.1667,0.0001,4567.75,0.2039,5603.25,70.45,17835.75,-581.5,10.12,0.0,85.0
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.394356,0.918958,0.965926,-0.258819,1,0,0,0,0,0,0,1,0,0,0,0.0,24325.91666666667,45.1667,0.0019,4089.6667,0.1681,6591.16666666667,70.45,20191.0833,-416.83333333333,10.15,0.0,105.36
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.394356,0.918958,0.866025,-0.5,1,0,0,0,0,0,0,1,0,0,0,0.0,25752.41666666667,839.25,0.0326,3350.0,0.1301,6943.66666666667,70.45,21563.1667,-109.41666666667,10.18,0.0,119.46
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.394356,0.918958,0.707107,-0.707107,1,0,0,0,0,0,0,1,0,0,0,0.0,26846.41666666667,2350.5,0.0876,2617.5833,0.0975,7244.58333333333,70.45,21878.3334,-1050.41666666667,10.21,0.0,120.14
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.394356,0.918958,0.5,-0.866025,1,0,0,0,0,0,0,1,0,0,0,0.0,27146.66666666667,3827.1667,0.141,1979.3333,0.0729,7118.83333333333,70.45,21340.1667,-1722.66666666667,10.24,0.0,121.21
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.394356,0.918958,0.258819,-0.965926,1,0,0,0,0,0,0,1,0,0,0,0.0,27209.16666666667,4620.0833,0.1698,1748.9167,0.0643,7055.33333333333,70.45,20840.1667,-1799.83333333333,10.27,0.0,125.0
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.394356,0.918958,0.0,-1.0,1,0,0,0,0,0,0,1,0,0,0,0.0,27640.91666666667,5111.3333,0.1849,1599.1667,0.0579,6799.66666666667,70.45,20930.4167,-1857.66666666667,10.3,0.0,126.75
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.394356,0.918958,-0.258819,-0.965926,1,0,0,0,0,0,0,1,0,0,0,0.0,27634.75,4671.25,0.169,1493.1667,0.054,6901.25,70.45,21470.3333,-2001.58333333333,10.33,0.1,126.75
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.394356,0.918958,-0.5,-0.866025,1,0,0,0,0,0,0,1,0,0,0,0.0,27002.25,3569.1667,0.1322,1441.5833,0.0534,6955.33333333333,70.45,21991.5,-2288.08333333333,10.36,0.1,128.0
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.394356,0.918958,-0.707107,-0.707107,1,0,0,0,0,0,0,1,0,0,0,0.0,26801.5,2487.3333,0.0928,1540.4167,0.0575,7213.75,70.45,22773.75,-2028.75,10.39,0.01,128.0
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.394356,0.918958,-0.866025,-0.5,1,0,0,0,0,0,0,1,0,0,0,0.0,26867.41666666667,800.4167,0.0298,1656.4167,0.0617,7770.25,70.45,24410.5833,-787.33333333333,10.42,1.0,129.0
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.394356,0.918958,-0.965926,-0.258819,1,0,0,0,0,0,0,1,0,0,0,0.0,28026.75,24.1667,0.0009,2061.0,0.0735,8040.58333333333,70.45,25941.5833,66.0,10.45,4.16,140.0
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.394356,0.918958,-1.0,-0.0,1,0,0,0,0,0,0,1,0,0,0,0.0,28662.75,0.9167,0.0,2478.25,0.0865,7850.75,70.45,26183.5833,685.33333333333,10.48,15.1,174.74
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.394356,0.918958,-0.965926,0.258819,1,0,0,0,0,0,0,1,0,0,0,0.0,29363.83333333333,0.0,0.0,2791.3333,0.0951,7576.0,70.45,26572.5,1161.5,10.52,19.51,165.76
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.394356,0.918958,-0.866025,0.5,1,0,0,0,0,0,0,1,0,0,0,0.0,29028.66666666667,0.0833,0.0,3019.75,0.104,7149.0,70.45,26008.8334,940.75,10.55,24.61,153.0
